0.00 1.24	KEVIN:  	Is that just [carbonated water]?
1518.96 1519.93	KENDRA: 	.. <FOOD I go to [!Rita FOOD>].
1519.49 1519.93	WENDY:  	                 [and] __
1519.93 1521.38	MARCI:  	!Edna's left our church.
1521.38 1522.03	        	Did you know that?
1522.03 1522.68	        	.. [Did] she tell [2you2]?
1522.03 1522.19	KEVIN:  	   [(DRINK)]
1522.59 1522.94	WENDY:  	                  [2Hm2]_m.
1522.94 1523.31	KEVIN:  	.. Hm_m.
1523.31 1525.51	MARCI:  	They've go=ne [.. to=] .. a sou=th,
1524.01 1524.50	KENDRA: 	              [(THROAT)]
1525.51 1527.36	MARCI:  	.. a church down south,
1527.36 1528.36	        	a little tiny one?
1528.36 1528.51	KEVIN:  	(H)
1528.51 1530.66	MARCI:  	(H) And when !Edn=a told me about it,
1530.66 1533.36	        	.. %it was because they sort of wanted to go=,
1533.36 1534.96	        	.. to a smaller congregation.
1534.96 1535.56	KEVIN:  	[Hm].
1535.01 1537.51	MARCI:  	[(H)] But when they announced it in church,
1537.51 1538.52	        	and we prayed for them,
1538.52 1539.48	        	it was becau=se,
1539.48 1540.03	        	they,
1540.03 1540.53	        	.. um,
1540.53 1542.03	        	... they were gonna go out %,
1542.03 1543.68	        	... because they felt called.
1543.68 1544.68	        	... [So],
1544.33 1544.68	KEVIN:  	    [Hm].
1544.68 1546.48	MARCI:  	.. I don't know what the real story is,
1546.48 1546.73	        	but,
1546.73 1548.63	        	... it sounded kinda neat.
1548.63 1548.98	KEVIN:  	.. [Hm].
1548.74 1549.24	WENDY:  	   [(TSK) Well it] must % __
1549.24 1549.59	        	Their,
1549.59 1551.79	        	I think thei=r motives must .. be pretty solid,
1551.79 1553.09	        	if they're willing to talk to !Ron about it,
1553.09 1554.23	        	and [make it a pub]lic thing,
1553.25 1554.01	MARCI:  	    [Oh yeah].
1554.23 1554.59	        	Yeah[2=2],
1554.36 1554.59	WENDY:  	    [2So2],
1554.59 1555.14	        	... [3(H)3]
1554.84 1555.14	MARCI:  	    [3Yeah3].
1555.14 1555.44	WENDY:  	They're neat,
1555.44 1555.89	        	they're really neat,
1555.89 1556.24	        	in fact,
1556.24 1557.59	MARCI:  	.. Oh I love [!Edna].
1556.96 1558.06	WENDY:  	             [remember when he] had his __
1558.06 1559.61	        	.. They had to cut his sweats,
1559.61 1561.56	        	... when [he had his] sur[2gery,
1560.66 1561.06	MARCI:  	         [Yeah].
1561.36 1561.86	        	                         [2Yeah2].
1561.56 1563.61	WENDY:  	and he was2] so upset ... about that,
1563.61 1564.58	        	... [3so3],
1563.96 1565.36	MARCI:  	    [3(TSK) You took3] em into !Edna?
1565.36 1566.01	WENDY:  	.. and she g_ __
1566.01 1567.11	MARCI:  	... She [fixed em].
1566.56 1567.11	WENDY:  	        [fixed em].
1567.11 1567.61	        	For free.
1567.61 1568.94	MARCI:  	... <SM Oh= jee[=sh SM>].
1568.50 1568.94	KENDRA: 	               [Oh=].
1568.50 1569.42	KEVIN:  	               [(TSK) And you can't] even tell.
1569.42 1570.57	WENDY:  	And you can't even [2tell2] that they [3were3] __
1569.84 1570.14	KEVIN:  	                   [2At all2].
1570.37 1571.17	MARCI:  	                                      [3@3]@ (H)
1571.17 1572.95	KEVIN:  	... And I don't [4even think4] they cut em .. on a l_ __
1571.66 1571.96	WENDY:  	                [4cut4] __
1572.95 1573.65	KEVIN:  	.. on a sea=m.
1573.65 1575.10	MARCI:  	.. Yeah they tried to.
1575.10 1575.95	KEVIN:  	.. Well they tried [to,
1575.82 1576.27	KENDRA: 	                   [(THROAT)]
1575.67 1576.72	MARCI:  	                   [They tried] to.
1575.95 1576.27	KEVIN:  	but],
1576.72 1577.32	WENDY:  	.. But [2I don't know2].
1576.89 1578.14	KEVIN:  	       [2she did a2] great job with it.
1578.14 1578.97	MARCI:  	.. Oh that's [3good3].
1578.74 1580.09	WENDY:  	             [3We've3] been taking a lot of [4stuff in to her,
1579.61 1580.09	MARCI:  	                                            [4She's __
1580.09 1580.59	WENDY:  	cause4] __
1580.09 1581.59	MARCI:  	.. She's4] doing you know the k_ __
1581.59 1582.29	        	[5the k_ @@5],
1581.59 1582.24	KENDRA: 	[5(THROAT)5]
1582.29 1582.89	MARCI:  	(H) I __
1582.89 1583.64	        	I can't get over.
1583.64 1585.24	        	Grandma .. m=akes us a quilt,
1585.24 1588.09	        	.. and she makes a double_bed quilt for our king_size bed,
1588.09 1589.34	        	.. so of course it doesn't fit.
1589.34 1589.69	        	.. So,
1589.69 1590.69	        	[(H) @I] __
1589.74 1590.69	KEVIN:  	[@=]
1589.69 1591.05	KENDRA: 	[So she's <X giving X> it] to me.
1591.05 1594.55	MARCI:  	.. I bought some extra= ... calico,
1594.55 1595.80	        	to put around [the e]dges,
1595.11 1595.47	WENDY:  	              [Right],
1595.80 1596.50	MARCI:  	three sides.
1596.50 1597.10	        	(THROAT)
1597.10 1598.45	        	.. Three years it's been sitting here,
1598.45 1599.15	        	and I haven't done it,
1599.15 1600.15	        	so I took it in to !Edna,
1600.15 1601.40	        	so she's gonna do it.
1601.40 1602.50	KEN:    	.. (THROAT)[=]
1601.95 1602.75	KEVIN:  	           [She does a good] job.
1602.75 1604.00	MARCI:  	... Yeah.
1604.00 1604.65	KEVIN:  	... Hm.
1604.65 1606.45	MARCI:  	.. (H) Well she made me the wedding outfit.
1606.45 1607.35	KENDRA: 	(COUGH)[= (COUGH)]
1606.60 1607.35	MARCI:  	       [Did you see it]?
1607.35 1607.60	KEVIN:  	Mhm.
1607.60 1609.05	MARCI:  	.. I should've worn it tonight.
1609.05 1609.57	KEVIN:  	[(H) Yeah].
1609.05 1611.76	MARCI:  	[I keep for]getting to wear that when you're over here.
1611.76 1612.15	KEVIN:  	<X You X> should[2've2].
1611.98 1612.48	WENDY:  	                [2You2] shou=ld.
1612.48 1615.53	MARCI:  	.. Wear my [3Nigerian3] [4wedding outfit (Hx)4].
1613.40 1614.55	KEVIN:  	           [3(H) That's the prob3][4lem=.
1613.75 1614.25	WENDY:  	           [3%=3]
1614.55 1616.95	KEVIN:  	We have= such4] nice .. African outfits,
1616.95 1617.72	        	but we can't wear em,
1617.72 1619.12	        	cause we're not missionaries to @Africa.
1619.12 1619.52	        	@=
1619.52 1621.07	MARCI:  	.. @@ (H)
1621.07 1624.12	        	.. [You should wear them] [2over here for your2] [3@birthday @party.
1621.37 1622.25	KENDRA: 	   [(Hx)=]
1622.30 1623.10	KEN:    	                          [2(COUGH) (COUGH)2]
1623.10 1624.05	KENDRA: 	                                                 [3<VOX G-Oh= VOX>,
1624.12 1624.79	MARCI:  	@@3]
1624.05 1625.03	KENDRA: 	cut it ou3]=t.
1625.03 1625.70	WENDY:  	.. I got it.
1625.70 1626.40	KEVIN:  	.. [Good].
1626.05 1626.40	MARCI:  	   [@@]
1626.10 1626.72	WENDY:  	   [Let me] see.
1626.72 1627.52	        	(H) .. Oh,
1627.52 1628.77	        	now you put it back @up (Hx).
1628.77 1629.19	KEVIN:  	[@=]
1628.77 1629.93	MARCI:  	[@@]@@@
1629.93 1630.83	WENDY:  	(H) [2There2].
1630.43 1630.83	MARCI:  	    [2(Hx)2]
1630.43 1631.33	KEVIN:  	    [2Has a2] homing device.
1631.33 1633.18	WENDY:  	.. <@ Homing devi=ce @>.
1633.18 1634.73	        	.. (H) Homing device fleck up.
1634.98 1635.36	        	[Gross].
1634.78 1636.70	MARCI:  	[@@]@@@@ [2@Fleck @up2].
1635.86 1636.31	KEVIN:  	         [2What did you say,
1636.31 1636.70	        	!Kendie2].
1636.70 1637.90	MARCI:  	.. (H) Gross.
1637.90 1638.50	KENDRA: 	.. Gross.
1638.50 1638.90	KEVIN:  	.. [Gross].
1638.67 1639.67	MARCI:  	   [She] said gross.
1639.72 1641.47	        	... @@@
1641.47 1642.27	        	.. (H) @
1642.27 1642.67	KEVIN:  	Well,
1642.67 1643.57	WENDY:  	.. Well,
1643.57 1644.78	        	anyway,
